"MYAS1"	"1868040"	"1"	"1891943"	"5"	
"SSX4"	"1859327"	"1"	"1891944"	"4"	
"TRNAI15"	"1859599"	"1"	"1891945"	"7"	
"TRNAI18"	"1858917"	"1"	"1891946"	"7"	
"IFIT1B"	"1855190"	"1"	"1891947"	"6"	
"LOC649133"	"1856568"	"1"	"1891948"	"9"	
"USP9YP5"	"1847666"	"1"	"1891949"	"7"	
"GSTZ1"	"1846013"	"1"	"1891950"	"5"	
"TMEM31"	"1840736"	"1"	"1891951"	"6"	
"SRXX2"	"1851553"	"1"	"1891952"	"5"	
"TXNDC5"	"1870389"	"1"	"1891953"	"6"	
"RPS3AP42"	"1867782"	"1"	"1891954"	"8"	
"LOC100509195"	"1862695"	"1"	"1891955"	"12"	
"ADRA2B"	"1866821"	"1"	"1891956"	"6"	
"S100A3"	"1844334"	"1"	"1891957"	"6"	
"PRSS12"	"1844082"	"1"	"1891958"	"6"	
"UBE2L3"	"1853241"	"1"	"1891959"	"6"	
"UCP3"	"1854161"	"1"	"1891960"	"4"	
"DGCR2"	"1856093"	"1"	"1891961"	"5"	
"RPS12P22"	"1874704"	"1"	"1891962"	"8"	
"LST1"	"1861263"	"1"	"1891963"	"4"	
"LOC100421451"	"1874268"	"1"	"1891964"	"12"	
"TRNAS2"	"1869154"	"1"	"1891965"	"6"	
"RPS7P10"	"1838436"	"1"	"1891966"	"7"	
"SCA32"	"1876488"	"1"	"1891967"	"5"	
"TRPV5"	"1877275"	"1"	"1891968"	"5"	
"RCN3"	"1841397"	"1"	"1891969"	"4"	
"LOC100287294"	"1861736"	"1"	"1891970"	"12"	
"MIR4448"	"1847885"	"1"	"1891971"	"7"	
"LOC100131289"	"1864014"	"1"	"1891972"	"12"	
"LOC100132261"	"1844479"	"1"	"1881274"	"12"	
"PSMB3P2"	"1851989"	"1"	"1881275"	"7"	
"ARHGEF17"	"1861431"	"1"	"1881276"	"8"	
"HIST1H4PS1"	"1844450"	"1"	"1881277"	"10"	
"CRISP1"	"1844501"	"1"	"1881278"	"6"	
"DEL15Q26QTER"	"1864420"	"1"	"1881279"	"12"	
"PCDHA11"	"1840965"	"1"	"1881280"	"7"	
"DCLK3"	"1855657"	"1"	"1881281"	"5"	
"C9ORF29"	"1853298"	"1"	"1881282"	"7"	
"ZNF841"	"1872323"	"1"	"1881283"	"6"	
"LOC646057"	"1874049"	"1"	"1881284"	"9"	
"NIT2"	"1850590"	"1"	"1881285"	"4"	
"DOCK2"	"1853626"	"1"	"1881286"	"5"	
"PGBD3"	"1877077"	"1"	"1881287"	"5"	
"LOC100130430"	"1869634"	"1"	"1881288"	"12"	
"TRAJ27"	"1877289"	"1"	"1881289"	"6"	
"IGHJ3P"	"1849247"	"1"	"1881290"	"6"	
"LOC285902"	"1863697"	"1"	"1881291"	"9"	
"LOC100288149"	"1879267"	"1"	"1881292"	"12"	
"LOC100507378"	"1842942"	"1"	"1881293"	"12"	
"RPL7P"	"1872922"	"1"	"1881294"	"5"	
"FBLIM1"	"1872892"	"1"	"1881295"	"6"	
"MTRNR2L7"	"1866904"	"1"	"1881296"	"8"	
"C4ORF32"	"1862475"	"1"	"1881297"	"7"	
"MICC"	"1879023"	"1"	"1881298"	"4"	
"MARVELD2"	"1864171"	"1"	"1881299"	"8"	
"PGLYRP2"	"1863453"	"1"	"1881300"	"7"	
"SLC10A3"	"1847403"	"1"	"1881301"	"7"	
"MEMO1P2"	"1878395"	"1"	"1881302"	"7"	
"PBC2"	"1850496"	"1"	"1881303"	"4"	
"HIST1H1B"	"1852059"	"1"	"1881304"	"8"	
"LINC00506"	"1878299"	"1"	"1881305"	"9"	
"AVEN"	"1874548"	"1"	"1881306"	"4"	
"SLC25A1"	"1874128"	"1"	"1881307"	"7"	
"RNASEH1P2"	"1856115"	"1"	"1881308"	"9"	
"LINC00525"	"1850406"	"1"	"1881309"	"9"	
"DEFA6"	"1858766"	"1"	"1881310"	"5"	
"LOC100421169"	"1855969"	"1"	"1881311"	"12"	
"NDUFS2"	"1859526"	"1"	"1881312"	"6"	
"TRNAP27P"	"1868709"	"1"	"1881313"	"8"	
"LOC402213"	"1849729"	"1"	"1881314"	"9"	
"ERMAP"	"1858067"	"1"	"1881315"	"5"	
"LOC100533935"	"1868538"	"1"	"1881316"	"12"	
"IGHV3-H"	"1871660"	"1"	"1881317"	"7"	
"AR"	"1859549"	"1"	"1881318"	"2"	
"ZNF253"	"1866492"	"1"	"1881319"	"6"	
"CEACAM16"	"1855697"	"1"	"1881320"	"8"	
"DPEP1"	"1850338"	"1"	"1881321"	"5"	
"PRKG1"	"1848539"	"1"	"1881322"	"5"	
"NUS1P1"	"1851586"	"1"	"1881323"	"6"	
"LOC100422002"	"1852609"	"1"	"1881324"	"12"	
"MIR5092"	"1871971"	"1"	"1881325"	"7"	
"LOC100293516"	"1849123"	"1"	"1881326"	"12"	
"SLC30A8"	"1851805"	"1"	"1881327"	"7"	
"RHOQP3"	"1849541"	"1"	"1881328"	"6"	
"TBC1D12"	"1860964"	"1"	"1881329"	"7"	
"SESN1"	"1857349"	"1"	"1881330"	"5"	
"AKR1C4"	"1841640"	"1"	"1881331"	"6"	
"TRNAE40P"	"1855145"	"1"	"1881332"	"8"	
"LOC100422341"	"1864860"	"1"	"1881333"	"12"	
"LMNA"	"1855294"	"1"	"1881334"	"4"	
"MPV17L2"	"1875995"	"1"	"1881335"	"7"	
"FAME3"	"1876421"	"1"	"1881336"	"5"	
"LOC100506379"	"1858370"	"1"	"1881337"	"12"	
"PRR3"	"1860999"	"1"	"1881338"	"4"	
