GPL_ID	PROBE_NAME	GENE_SYMBOL	ENTREZ_ID	ORGANISM
GENE-EXPRESSION-1	NM_001024736.1	CD276	80381	Homo sapiens
GENE-EXPRESSION-1	NM_001243078.1	CD28	940	Homo sapiens
GENE-EXPRESSION-1	NM_001177608.1	CD33	945	Homo sapiens
GENE-EXPRESSION-1	NM_001025109.1	CD34	947	Homo sapiens
GENE-EXPRESSION-1	NM_001001548.2	CD36	948	Homo sapiens
GENE-EXPRESSION-1	NM_001774.2	CD37	951	Homo sapiens
GENE-EXPRESSION-1	NM_001775.2	CD38	952	Homo sapiens
GENE-EXPRESSION-1	NM_000732.4	CD3D	915	Homo sapiens
GENE-EXPRESSION-1	NM_000733.2	CD3E	916	Homo sapiens
GENE-EXPRESSION-1	NM_012099.1	CD3EAP	10849	Homo sapiens
GENE-EXPRESSION-1	NM_000073.2	CD3G	917	Homo sapiens
GENE-EXPRESSION-1	NM_000616.4	CD4	920	Homo sapiens
GENE-EXPRESSION-1	NM_001250.4	CD40	958	Homo sapiens
GENE-EXPRESSION-1	NM_000074.2	CD40LG	959	Homo sapiens
GENE-EXPRESSION-1	NM_001001392.1	CD44	960	Homo sapiens
GENE-EXPRESSION-1	NM_172350.1	CD46	4179	Homo sapiens
GENE-EXPRESSION-1	NM_001777.3	CD47	961	Homo sapiens
GENE-EXPRESSION-1	NM_001778.2	CD48	962	Homo sapiens
GENE-EXPRESSION-1	NM_014207.2	CD5	921	Homo sapiens
GENE-EXPRESSION-1	NM_001040033.1	CD53	963	Homo sapiens
GENE-EXPRESSION-1	NM_000574.3	CD55	1604	Homo sapiens
GENE-EXPRESSION-1	NM_001779.2	CD58	965	Homo sapiens
GENE-EXPRESSION-1	NM_000611.4	CD59	966	Homo sapiens
GENE-EXPRESSION-1	NM_006725.3	CD6	923	Homo sapiens
GENE-EXPRESSION-1	NM_001780.4	CD63	967	Homo sapiens
GENE-EXPRESSION-1	NM_001251.2	CD68	968	Homo sapiens
GENE-EXPRESSION-1	NM_001781.1	CD69	969	Homo sapiens
GENE-EXPRESSION-1	NM_006137.6	CD7	924	Homo sapiens
GENE-EXPRESSION-1	NM_001252.2	CD70	970	Homo sapiens
GENE-EXPRESSION-1	NM_001025159.1	CD74	972	Homo sapiens
GENE-EXPRESSION-1	NM_001783.3	CD79A	973	Homo sapiens
GENE-EXPRESSION-1	NM_021602.2	CD79B	974	Homo sapiens
GENE-EXPRESSION-1	NM_005191.3	CD80	941	Homo sapiens
GENE-EXPRESSION-1	NM_004356.3	CD81	975	Homo sapiens
GENE-EXPRESSION-1	NM_004233.3	CD83	9308	Homo sapiens
GENE-EXPRESSION-1	NM_001184879.1	CD84	8832	Homo sapiens
GENE-EXPRESSION-1	NM_175862.3	CD86	942	Homo sapiens
GENE-EXPRESSION-1	NM_001768.5	CD8A	925	Homo sapiens
GENE-EXPRESSION-1	NM_004931.3	CD8B	926	Homo sapiens
GENE-EXPRESSION-1	NM_001769.2	CD9	928	Homo sapiens
GENE-EXPRESSION-1	NM_005816.4	CD96	10225	Homo sapiens
GENE-EXPRESSION-1	NM_078481.2	CD97	976	Homo sapiens
GENE-EXPRESSION-1	NM_002414.3	CD99	4267	Homo sapiens
GENE-EXPRESSION-1	NM_004360.2	CDH1	999	Homo sapiens
GENE-EXPRESSION-1	NM_001795.3	CDH5	1003	Homo sapiens
GENE-EXPRESSION-1	NM_001786.4	CDK1	983	Homo sapiens
GENE-EXPRESSION-1	NM_000389.2	CDKN1A	1026	Homo sapiens
GENE-EXPRESSION-1	NM_001712.3	CEACAM1	634	Homo sapiens
GENE-EXPRESSION-1	NM_002483.4	CEACAM6	4680	Homo sapiens
GENE-EXPRESSION-1	NM_001816.3	CEACAM8	1088	Homo sapiens
GENE-EXPRESSION-1	NM_005194.2	CEBPB	1051	Homo sapiens
